# Time_Sec,Amplitude
0.000000,-0.000587
0.033333,0.001924
0.066667,0.003855
0.100000,0.004796
0.133333,0.004652
0.166667,0.003641
0.200000,0.002200
0.233333,0.000848
0.266667,0.000042
0.300000,0.000046
0.333333,0.000855
0.366667,0.002188
0.400000,0.003576
0.433333,0.004519
0.466667,0.004656
0.500000,0.003888
0.533333,0.002393
0.566667,0.000563
0.600000,-0.001153
0.633333,-0.002408
0.666667,-0.003059
0.700000,-0.003168
0.733333,-0.002920
0.766667,-0.002512
0.800000,-0.002090
0.833333,-0.001722
0.866667,-0.001425
0.900000,-0.001205
0.933333,-0.001107
0.966667,-0.001228
1.000000,-0.001668
1.033333,-0.002458
1.066667,-0.003485
1.100000,-0.004481
1.133333,-0.005082
1.166667,-0.004945
1.200000,-0.003879
1.233333,-0.001947
1.266667,0.000520
1.300000,0.002991
1.333333,0.004893
1.366667,0.005790
1.400000,0.005524
1.433333,0.004265
1.466667,0.002463
1.500000,0.000722
1.533333,-0.000369
1.566667,-0.000400
1.600000,0.000755
1.633333,0.002892
1.666667,0.005525
1.700000,0.007998
1.733333,0.009653
1.766667,0.009998
1.800000,0.008828
1.833333,0.006283
1.866667,0.002800
1.900000,-0.001013
1.933333,-0.004573
1.966667,-0.007477
2.000000,-0.009557
2.033333,-0.010821
2.066667,-0.011347
2.100000,-0.011196
2.133333,-0.010384
2.166667,-0.008907
2.200000,-0.006796
2.233333,-0.004169
2.266667,-0.001263
2.300000,0.001585
2.333333,0.003988
2.366667,0.005600
2.400000,0.006218
2.433333,0.005871
2.466667,0.004809
2.500000,0.003385
2.533333,0.001902
2.566667,0.000527
2.600000,-0.000681
2.633333,-0.001688
2.666667,-0.002412
2.700000,-0.002721
2.733333,-0.002507
2.766667,-0.001774
2.800000,-0.000665
2.833333,0.000601
2.866667,0.001835
2.900000,0.002941
2.933333,0.003914
2.966667,0.004763
3.000000,0.005417
3.033333,0.005682
3.066667,0.005301
3.100000,0.004095
3.133333,0.002128
3.166667,-0.000227
3.200000,-0.002378
3.233333,-0.003732
3.266667,-0.003930
3.300000,-0.002975
3.333333,-0.001220
3.366667,0.000768
3.400000,0.002409
3.433333,0.003290
3.466667,0.003263
3.500000,0.002429
3.533333,0.001046
3.566667,-0.000577
3.600000,-0.002146
3.633333,-0.003425
3.666667,-0.004266
3.700000,-0.004614
3.733333,-0.004499
3.766667,-0.004013
3.800000,-0.003282
3.833333,-0.002452
3.866667,-0.001667
3.900000,-0.001053
3.933333,-0.000704
3.966667,-0.000660
4.000000,-0.000891
4.033333,-0.001283
4.066667,-0.001666
4.100000,-0.001876
4.133333,-0.001826
4.166667,-0.001543
4.200000,-0.001144
4.233333,-0.000767
4.266667,-0.000481
4.300000,-0.000241
4.333333,0.000099
4.366667,0.000717
4.400000,0.001724
4.433333,0.003095
4.466667,0.004653
4.500000,0.006115
4.533333,0.007186
4.566667,0.007645
4.600000,0.007410
4.633333,0.006549
4.666667,0.005267
4.700000,0.003854
4.733333,0.002586
4.766667,0.001617
4.800000,0.000925
4.833333,0.000345
4.866667,-0.000326
4.900000,-0.001223
4.933333,-0.002368
4.966667,-0.003693
5.000000,-0.005081
5.033333,-0.006375
5.066667,-0.007370
5.100000,-0.007842
5.133333,-0.007616
5.166667,-0.006638
5.200000,-0.005012
5.233333,-0.002993
5.266667,-0.000930
5.300000,0.000826
5.333333,0.002004
5.366667,0.002472
5.400000,0.002268
5.433333,0.001595
5.466667,0.000773
5.500000,0.000140
5.533333,-0.000051
5.566667,0.000306
5.600000,0.001174
5.633333,0.002401
5.666667,0.003736
5.700000,0.004834
5.733333,0.005284
5.766667,0.004726
5.800000,0.003004
5.833333,0.000286
5.866667,-0.002956
5.900000,-0.006076
5.933333,-0.008445
5.966667,-0.009606
6.000000,-0.009334
6.033333,-0.007633
6.066667,-0.004703
6.100000,-0.000921
6.133333,0.003188
6.166667,0.007017
6.200000,0.009976
6.233333,0.011606
6.266667,0.011670
6.300000,0.010235
6.333333,0.007685
6.366667,0.004665
6.400000,0.001909
6.433333,0.000023
6.466667,-0.000700
6.500000,-0.000355
6.533333,0.000644
6.566667,0.001700
6.600000,0.002215
6.633333,0.001765
6.666667,0.000222
6.700000,-0.002204
6.733333,-0.005026
6.766667,-0.007626
6.800000,-0.009428
6.833333,-0.010056
6.866667,-0.009413
6.900000,-0.007690
6.933333,-0.005317
6.966667,-0.002863
7.000000,-0.000907
7.033333,0.000104
7.066667,-0.000000
7.100000,-0.001057
7.133333,-0.002622
7.166667,-0.004128
7.200000,-0.005068
7.233333,-0.005141
7.266667,-0.004286
7.300000,-0.002642
7.333333,-0.000464
7.366667,0.001953
7.400000,0.004321
7.433333,0.006393
7.466667,0.007977
7.500000,0.008965
7.533333,0.009346
7.566667,0.009210
7.600000,0.008722
7.633333,0.008074
7.666667,0.007430
7.700000,0.006889
7.733333,0.006471
7.766667,0.006121
7.800000,0.005722
7.833333,0.005124
7.866667,0.004184
7.900000,0.002811
7.933333,0.001016
7.966667,-0.001073
8.000000,-0.003252
8.033333,-0.005325
8.066667,-0.007192
8.100000,-0.008865
8.133333,-0.010406
8.166667,-0.011808
8.200000,-0.012913
8.233333,-0.013415
8.266667,-0.012979
8.300000,-0.011397
8.333333,-0.008738
8.366667,-0.005394
8.400000,-0.002001
8.433333,0.000758
8.466667,0.002389
8.500000,0.002737
8.533333,0.002010
8.566667,0.000680
8.600000,-0.000663
8.633333,-0.001445
8.666667,-0.001236
8.700000,0.000159
8.733333,0.002639
8.766667,0.005803
8.800000,0.009033
8.833333,0.011653
8.866667,0.013143
8.900000,0.013286
8.933333,0.012214
8.966667,0.010317
9.000000,0.008094
9.033333,0.005985
9.066667,0.004272
9.100000,0.003044
9.133333,0.002231
9.166667,0.001671
9.200000,0.001183
9.233333,0.000609
9.266667,-0.000166
9.300000,-0.001233
9.333333,-0.002673
9.366667,-0.004541
9.400000,-0.006810
9.433333,-0.009323
9.466667,-0.011776
9.500000,-0.013793
9.533333,-0.015028
9.566667,-0.015258
9.600000,-0.014426
9.633333,-0.012647
9.666667,-0.010185
9.700000,-0.007401
9.733333,-0.004668
9.766667,-0.002279
9.800000,-0.000363
9.833333,0.001139
9.866667,0.002456
9.900000,0.003883
9.933333,0.005667
9.966667,0.007897
10.000000,0.010475
10.033333,0.013165
10.066667,0.015687
10.100000,0.017785
10.133333,0.019244
10.166667,0.019856
10.200000,0.019395
10.233333,0.017633
10.266667,0.014405
10.300000,0.009699
10.333333,0.003744
10.366667,-0.002966
10.400000,-0.009710
10.433333,-0.015694
10.466667,-0.020240
10.500000,-0.022942
10.533333,-0.023717
10.566667,-0.022753
10.600000,-0.020395
10.633333,-0.017030
10.666667,-0.013020
10.700000,-0.008671
10.733333,-0.004251
10.766667,-0.000012
10.800000,0.003817
10.833333,0.007061
10.866667,0.009628
10.900000,0.011495
10.933333,0.012667
10.966667,0.013135
11.000000,0.012861
11.033333,0.011795
11.066667,0.009922
11.100000,0.007322
11.133333,0.004218
11.166667,0.000978
11.200000,-0.001944
11.233333,-0.004133
11.266667,-0.005336
11.300000,-0.005543
11.333333,-0.004964
11.366667,-0.003929
11.400000,-0.002774
11.433333,-0.001772
11.466667,-0.001110
11.500000,-0.000888
11.533333,-0.001100
11.566667,-0.001616
11.600000,-0.002183
11.633333,-0.002477
11.666667,-0.002189
11.700000,-0.001138
11.733333,0.000651
11.766667,0.002917
11.800000,0.005204
11.833333,0.006951
11.866667,0.007645
11.900000,0.006969
11.933333,0.004935
11.966667,0.001920
12.000000,-0.001416
12.033333,-0.004340
12.066667,-0.006285
12.100000,-0.007023
12.133333,-0.006680
12.166667,-0.005616
12.200000,-0.004243
12.233333,-0.002867
12.266667,-0.001620
12.300000,-0.000491
12.333333,0.000563
12.366667,0.001512
12.400000,0.002224
12.433333,0.002530
12.466667,0.002344
12.500000,0.001743
12.533333,0.000944
12.566667,0.000219
12.600000,-0.000208
12.633333,-0.000232
12.666667,0.000124
12.700000,0.000737
12.733333,0.001447
12.766667,0.002121
12.800000,0.002679
12.833333,0.003090
12.866667,0.003321
12.900000,0.003305
12.933333,0.002947
12.966667,0.002161
13.000000,0.000945
13.033333,-0.000585
13.066667,-0.002192
13.100000,-0.003587
13.133333,-0.004526
13.166667,-0.004894
13.200000,-0.004736
13.233333,-0.004204
13.266667,-0.003482
13.300000,-0.002714
13.333333,-0.001990
13.366667,-0.001349
13.400000,-0.000802
13.433333,-0.000352
13.466667,0.000000
13.500000,0.000256
13.533333,0.000433
13.566667,0.000570
13.600000,0.000731
13.633333,0.000981
13.666667,0.001368
13.700000,0.001903
13.733333,0.002559
13.766667,0.003265
13.800000,0.003933
13.833333,0.004472
13.866667,0.004807
13.900000,0.004875
13.933333,0.004618
13.966667,0.003987
14.000000,0.002960
14.033333,0.001585
14.066667,-0.000017
14.100000,-0.001691
14.133333,-0.003303
