Time_Sec,Amplitude
0.000000,-0.086681
0.033333,1.654030
0.066667,2.930672
0.100000,3.423953
0.133333,3.055702
0.166667,1.997790
0.200000,0.594886
0.233333,-0.762726
0.266667,-1.762622
0.300000,-2.247269
0.333333,-2.228356
0.366667,-1.846321
0.400000,-1.298139
0.433333,-0.762729
0.466667,-0.349916
0.500000,-0.086017
0.533333,0.067404
0.566667,0.176411
0.600000,0.296424
0.633333,0.446634
0.666667,0.605178
0.700000,0.724914
0.733333,0.760366
0.766667,0.691643
0.800000,0.534354
0.833333,0.332662
0.866667,0.140317
0.900000,-0.000566
0.933333,-0.072710
0.966667,-0.083851
1.000000,-0.056869
1.033333,-0.017131
1.066667,0.017152
1.100000,0.039075
1.133333,0.051369
1.166667,0.060615
1.200000,0.071053
1.233333,0.081208
1.266667,0.083730
1.300000,0.067470
1.333333,0.021889
1.366667,-0.056383
1.400000,-0.157826
1.433333,-0.259345
1.466667,-0.330185
1.500000,-0.342471
1.533333,-0.282734
1.566667,-0.159771
1.600000,-0.004086
1.633333,0.142300
1.666667,0.240802
1.700000,0.268539
1.733333,0.223481
1.766667,0.122370
1.800000,-0.006784
1.833333,-0.134527
1.866667,-0.237732
1.900000,-0.302354
1.933333,-0.322229
1.966667,-0.297190
2.000000,-0.232171
2.033333,-0.136931
2.066667,-0.025826
2.100000,0.083097
2.133333,0.171207
2.166667,0.225008
2.200000,0.241699
2.233333,0.230636
2.266667,0.209413
2.300000,0.196419
2.333333,0.202770
2.366667,0.226891
2.400000,0.254972
2.433333,0.267845
2.466667,0.250278
2.500000,0.197174
2.533333,0.114226
2.566667,0.013966
2.600000,-0.090602
2.633333,-0.191841
2.666667,-0.289176
2.700000,-0.385117
2.733333,-0.478385
2.766667,-0.559039
2.800000,-0.608536
2.833333,-0.604656
2.866667,-0.529663
2.900000,-0.378746
2.933333,-0.164935
2.966667,0.082040
3.000000,0.322419
3.033333,0.516226
3.066667,0.633949
3.100000,0.665128
3.133333,0.620918
3.166667,0.528371
3.200000,0.418700
3.233333,0.315024
3.266667,0.224696
3.300000,0.139100
3.333333,0.040947
3.366667,-0.084214
3.400000,-0.237849
3.433333,-0.403715
3.466667,-0.549047
3.500000,-0.630392
3.533333,-0.603549
3.566667,-0.437059
3.600000,-0.126626
3.633333,0.294245
3.666667,0.752469
3.700000,1.146163
3.733333,1.367981
3.766667,1.334880
3.800000,1.013479
3.833333,0.431931
3.866667,-0.324160
3.900000,-1.129448
3.933333,-1.846660
3.966667,-2.358323
4.000000,-2.591901
