Time_Sec,Weighted_Value
0.0,-0.0015522
0.033333,0.46622440000000004
0.066667,0.8139620000000001
0.1,0.9577593999999999
0.133333,0.8738832
0.166667,0.602156
0.2,0.22815860000000002
0.233333,-0.14756740000000002
0.266667,-0.44042
0.3,-0.60194
0.333333,-0.6249870000000001
0.366667,-0.5359252
0.4,-0.3795358
0.433333,-0.20311980000000002
0.466667,-0.0446942
0.5,0.07265479999999999
0.533333,0.1409056
0.566667,0.1638288
0.6,0.15239540000000001
0.633333,0.120292
0.666667,0.0803938
0.7,0.042679600000000005
0.733333,0.0136548
0.766667,-0.0031834
0.8,-0.0065596000000000005
0.833333,0.003091
0.866667,0.0237152
0.9,0.05154020000000001
0.933333,0.08117240000000002
0.966667,0.10618300000000001
1.0,0.1201718
1.033333,0.118099
1.066667,0.09757199999999999
1.1,0.059814799999999994
1.133333,0.0099826
1.166667,-0.043457800000000005
1.2,-0.09041940000000001
1.233333,-0.1216332
1.266667,-0.13114399999999998
1.3,-0.11801060000000002
1.333333,-0.0865968
1.366667,-0.045338800000000005
1.4,-0.0043966
1.433333,0.0270816
1.466667,0.043203000000000005
1.5,0.0424458
1.533333,0.027428600000000004
1.566667,0.0036894
1.6,-0.0218306
1.633333,-0.042044000000000005
1.666667,-0.0506316
1.7,-0.0429342
1.733333,-0.017108400000000003
1.766667,0.0245766
1.8,0.0749482
1.833333,0.12251119999999999
1.866667,0.15394480000000002
1.9,0.15808780000000006
1.933333,0.1299338
1.966667,0.0728696
2.0,-0.0019296
2.033333,-0.0787656
2.066667,-0.14208860000000004
2.1,-0.18079620000000002
2.133333,-0.1906254
2.166667,-0.17401320000000003
2.2,-0.137918
2.233333,-0.0908678
2.266667,-0.040503000000000004
2.3,0.0076078
2.333333,0.049829200000000004
2.366667,0.08359140000000001
2.4,0.10666320000000001
2.433333,0.1171472
2.466667,0.11411740000000001
2.5,0.09834220000000002
2.533333,0.07255400000000002
2.566667,0.041113800000000006
2.6,0.009208000000000001
2.633333,-0.018124
2.666667,-0.0369402
2.7,-0.04515020000000001
2.733333,-0.042946000000000005
2.766667,-0.032734000000000006
2.8,-0.0184738
2.833333,-0.004584000000000001
2.866667,0.005216200000000001
2.9,0.0087806
2.933333,0.005969800000000001
2.966667,-0.0013858
3.0,-0.010012600000000002
3.033333,-0.0161722
3.066667,-0.016859600000000002
3.1,-0.0108706
3.133333,0.0006198
3.166667,0.0142302
3.2,0.0253564
3.233333,0.029701000000000005
3.266667,0.0248028
3.3,0.010974200000000002
3.333333,-0.008664400000000001
3.366667,-0.028960400000000004
3.4,-0.0439842
3.433333,-0.048402400000000005
3.466667,-0.038696
3.5,-0.0140268
3.533333,0.023374000000000002
3.566667,0.06843199999999999
3.6,0.11407640000000002
3.633333,0.1524568
3.666667,0.1760568
3.7,0.1783834
3.733333,0.15437700000000001
3.766667,0.10109980000000002
3.8,0.019169600000000005
3.833333,-0.08526500000000002
