Time_Sec,Weighted_Value
0.0,0.0163044
0.033333,0.18069580000000005
0.066667,0.28662180000000004
0.1,0.2942088
0.133333,0.19536740000000002
0.166667,0.0179854
0.2,-0.18159100000000003
0.233333,-0.3360446000000001
0.266667,-0.3886606
0.3,-0.3117034000000001
0.333333,-0.11589700000000001
0.366667,0.1516546
0.4,0.4206822
0.433333,0.6185452
0.466667,0.6922109999999999
0.5,0.623874
0.533333,0.4347454
0.566667,0.1761242
0.6,-0.08839920000000001
0.633333,-0.3026850000000001
0.666667,-0.4325764
0.7,-0.47092580000000006
0.733333,-0.43322620000000006
0.766667,-0.34752240000000006
0.8,-0.2434408
0.833333,-0.1441294
0.866667,-0.0628102
0.9,-0.0035360000000000005
0.933333,0.035609800000000004
0.966667,0.0588962
1.0,0.0702836
1.033333,0.0722044
1.066667,0.06578780000000001
1.1,0.052083000000000004
1.133333,0.033297
1.166667,0.013027599999999999
1.2,-0.004667
1.233333,-0.016593800000000002
1.266667,-0.021290200000000002
1.3,-0.0190902
1.333333,-0.011534200000000001
1.366667,-0.0004806
1.4,0.012535800000000001
1.433333,0.0263992
1.466667,0.0401474
1.5,0.0527652
1.533333,0.0630842
1.566667,0.06958339999999999
1.6,0.07022460000000001
1.633333,0.06275700000000001
1.666667,0.0456552
1.7,0.019295600000000003
1.733333,-0.0131784
1.766667,-0.0458168
1.8,-0.07106540000000001
1.833333,-0.0821458
1.866667,-0.0756568
1.9,-0.0530116
1.933333,-0.0199544
1.966667,0.015510000000000001
2.0,0.045753600000000005
2.033333,0.06561040000000001
2.066667,0.07315200000000001
2.1,0.069159
2.133333,0.056077
2.166667,0.0372704
2.2,0.0165842
2.233333,-0.0022566
2.266667,-0.0164722
2.3,-0.024829
2.333333,-0.027696199999999997
2.366667,-0.026707400000000003
2.4,-0.024278800000000003
2.433333,-0.023097
2.466667,-0.025627800000000006
2.5,-0.0335808
2.533333,-0.047190800000000005
2.566667,-0.064397
2.6,-0.08054860000000001
2.633333,-0.0893422
2.666667,-0.085035
2.7,-0.0650808
2.733333,-0.032038399999999995
2.766667,0.0062886
2.8,0.0390232
2.833333,0.05623780000000001
2.866667,0.05320079999999999
2.9,0.0328846
2.933333,0.0057054
2.966667,-0.013307200000000002
3.0,-0.0092356
3.033333,0.027054
3.066667,0.09388560000000001
3.1,0.17658420000000005
3.133333,0.24992560000000003
3.166667,0.28547219999999995
3.2,0.26171459999999996
3.233333,0.17281599999999997
3.266667,0.0315486
3.3,-0.13502740000000002
3.333333,-0.294312
3.366667,-0.4166034
3.4,-0.48010400000000003
3.433333,-0.4724838
3.466667,-0.3908434
3.5,-0.2419064
3.533333,-0.04288700000000001
3.566667,0.1781706
3.6,0.3846628000000001
3.633333,0.537699
3.666667,0.6056088000000001
3.7,0.5735336
3.733333,0.4488996
3.766667,0.2596868
3.8,0.045489
3.833333,-0.154883
3.866667,-0.3135116
3.9,-0.4171594
3.933333,-0.4647846
3.966667,-0.46211480000000005
4.0,-0.4170258
4.033333,-0.33761040000000003
4.066667,-0.23256300000000002
4.1,-0.11221180000000001
4.133333,0.0114026
4.166667,0.12587580000000004
4.2,0.2203978
4.233333,0.2870704
4.266667,0.32102
4.3,0.3197472
4.333333,0.28276599999999996
4.366667,0.21251480000000003
4.4,0.1166732
4.433333,0.0103792
4.466667,-0.08419579999999999
