Time_Sec,Weighted_Value
0.0,-0.0028494
0.033333,-0.1045332
0.066667,-0.16858800000000002
0.1,-0.17429200000000003
0.133333,-0.12696960000000002
0.166667,-0.05594
0.2,-0.0014494
0.233333,0.0041646
0.266667,-0.04754300000000001
0.3,-0.1363302
0.333333,-0.22281240000000002
0.366667,-0.267428
0.4,-0.248596
0.433333,-0.17114020000000005
0.466667,-0.06223719999999999
0.5,0.0415998
0.533333,0.1098372
0.566667,0.12896120000000003
0.6,0.1053022
0.633333,0.05978220000000001
0.666667,0.0182908
0.7,0.0021734000000000007
0.733333,0.021589000000000004
0.766667,0.07269660000000001
0.8,0.1390732
0.833333,0.1972788
0.866667,0.22509440000000006
0.9,0.20958640000000003
0.933333,0.15196420000000002
0.966667,0.0671928
1.0,-0.021746200000000004
1.033333,-0.0925492
1.066667,-0.1311634
1.1,-0.13501200000000002
1.133333,-0.1115024
1.166667,-0.0737244
1.2,-0.0355754
1.233333,-0.0078166
1.266667,0.0041278
1.3,0.0004572
1.333333,-0.014148
1.366667,-0.0324442
1.4,-0.04699180000000001
1.433333,-0.052574600000000006
1.466667,-0.047763400000000004
1.5,-0.0348278
1.533333,-0.0181768
1.566667,-0.0023122
1.6,0.009844
1.633333,0.017753600000000005
1.666667,0.0228698
1.7,0.027236000000000003
1.733333,0.032019399999999996
1.766667,0.03698480000000001
1.8,0.040906200000000004
1.833333,0.04227440000000001
1.866667,0.0398992
1.9,0.033402600000000005
1.933333,0.023423199999999998
1.966667,0.0113038
2.0,-0.0014723999999999998
2.033333,-0.0136034
2.066667,-0.024029400000000003
2.1,-0.0320088
2.133333,-0.037217
2.166667,-0.039655600000000006
2.2,-0.0395154
2.233333,-0.037217200000000006
2.266667,-0.0334516
2.3,-0.028856800000000005
2.333333,-0.0235278
2.366667,-0.016853000000000003
2.4,-0.007838399999999999
2.433333,0.0042986000000000005
2.466667,0.0194616
2.5,0.036128
2.533333,0.0514418
2.566667,0.06220080000000001
2.6,0.066169
2.633333,0.06279599999999999
2.666667,0.0530904
2.7,0.0390462
2.733333,0.0229598
2.766667,0.006808200000000001
2.8,-0.008036399999999999
2.833333,-0.020597400000000002
2.866667,-0.029995800000000003
2.9,-0.035593
2.933333,-0.03746700000000001
2.966667,-0.03667960000000001
3.0,-0.0350914
3.033333,-0.0347998
3.066667,-0.037294799999999996
3.1,-0.04249380000000001
3.133333,-0.048291200000000006
3.166667,-0.05121640000000001
3.2,-0.048022
3.233333,-0.037347200000000004
3.266667,-0.020685000000000002
3.3,-0.0022378
3.333333,0.012538200000000001
3.366667,0.019386000000000004
3.4,0.0175614
3.433333,0.010724200000000001
3.466667,0.0059752
3.5,0.01147
3.533333,0.03329119999999999
3.566667,0.0723752
3.6,0.1227636
3.633333,0.172392
3.666667,0.20651180000000002
3.7,0.21249120000000002
3.733333,0.18405640000000004
3.766667,0.12323420000000002
3.8,0.03913
3.833333,-0.05568100000000001
3.866667,-0.148907
3.9,-0.230355
3.933333,-0.2915854
3.966667,-0.32492139999999997
4.0,-0.32352200000000003
4.033333,-0.28320700000000004
4.066667,-0.2053432
4.1,-0.09914860000000002
4.133333,0.018446399999999998
4.166667,0.12623600000000001
4.2,0.2046124
4.233333,0.241639
4.266667,0.23669099999999998
4.3,0.199821
4.333333,0.1468552
4.366667,0.09259440000000001
4.4,0.045625599999999995
4.433333,0.007126800000000001
4.466667,-0.026264199999999998
4.5,-0.05745779999999999
