Time_Sec,Weighted_Value
0.0,0.028102800000000004
0.033333,0.1840478
0.066667,0.2901578
0.1,0.3154456
0.133333,0.2585178
0.166667,0.1478486
0.2,0.0305392
0.233333,-0.045639599999999995
0.266667,-0.049477600000000004
0.3,0.0233792
0.333333,0.1497822
0.366667,0.2872824
0.4,0.3879204
0.433333,0.4130498000000001
0.466667,0.34483660000000005
0.5,0.1913906
0.533333,-0.0156546
0.566667,-0.2303418
0.6,-0.4055594
0.633333,-0.5058696
0.666667,-0.5157866000000001
0.7,-0.4413446000000001
0.733333,-0.30560180000000003
0.766667,-0.140724
0.8,0.020363000000000003
0.833333,0.1505874
0.866667,0.23274440000000002
0.9,0.26101540000000006
0.933333,0.24040080000000003
0.966667,0.18433
1.0,0.11073499999999999
1.033333,0.037403599999999995
1.066667,-0.0220778
1.1,-0.06062700000000001
1.133333,-0.07780160000000001
1.166667,-0.0780774
1.2,-0.0681172
1.233333,-0.0541412
1.266667,-0.04032500000000001
1.3,-0.028483600000000005
1.333333,-0.0186604
1.366667,-0.010070200000000001
1.4,-0.0020014
1.433333,0.0056564
1.466667,0.012479
1.5,0.018036600000000003
1.533333,0.0223728
1.566667,0.0260576
1.6,0.029861800000000004
1.633333,0.0342858
1.666667,0.0391382
1.7,0.04335920000000001
1.733333,0.045329400000000006
1.766667,0.043609400000000006
1.8,0.037623000000000004
1.833333,0.027837200000000003
1.866667,0.015449200000000001
1.9,0.0018672
1.933333,-0.0118124
1.966667,-0.025219199999999997
2.0,-0.0387402
2.033333,-0.05304500000000001
2.066667,-0.06829360000000001
2.1,-0.0834168
2.133333,-0.09572420000000001
2.166667,-0.10104240000000002
2.2,-0.09459740000000001
2.233333,-0.0726524
2.266667,-0.0344018
2.3,0.0166732
2.333333,0.0726914
2.366667,0.12284579999999999
2.4,0.1562994
2.433333,0.16559400000000002
2.466667,0.1490512
2.5,0.1109884
2.533333,0.0598072
2.566667,0.0051386
2.6,-0.04462440000000001
2.633333,-0.08363580000000001
2.666667,-0.10872720000000001
